accession,title,organism,n_samples,date,platform,type,query
GSE9770,Non-demented individuals with intermediate Alzheimer's neuropathologies - neuronal expression (6 regions),Homo sapiens,34.0,2007/12/05,570,Expression profiling by array,Alzheimer's disease AND hippocampus AND GPL570
GSM242054,non-demented individual with intermediate Alzheimer's pathologies - hippocampus 6,Homo sapiens,0.0,2007/12/05,570,,Alzheimer's disease AND hippocampus AND GPL570
GSM242053,non-demented individual with intermediate Alzheimer's pathologies - hippocampus 5,Homo sapiens,0.0,2007/12/05,570,,Alzheimer's disease AND hippocampus AND GPL570
GSM242052,non-demented individual with intermediate Alzheimer's pathologies - hippocampus 4,Homo sapiens,0.0,2007/12/05,570,,Alzheimer's disease AND hippocampus AND GPL570
GSM242051,non-demented individual with intermediate Alzheimer's pathologies - hippocampus 3,Homo sapiens,0.0,2007/12/05,570,,Alzheimer's disease AND hippocampus AND GPL570
GSM242050,non-demented individual with intermediate Alzheimer's pathologies - hippocampus 2,Homo sapiens,0.0,2007/12/05,570,,Alzheimer's disease AND hippocampus AND GPL570
GSM242049,non-demented individual with intermediate Alzheimer's pathologies - hippocampus 1,Homo sapiens,0.0,2007/12/05,570,,Alzheimer's disease AND hippocampus AND GPL570
GSM238808,HIP_affected_10,Homo sapiens,0.0,2007/10/23,570,,Alzheimer's disease AND hippocampus AND GPL570
GSM238807,HIP_affected_9,Homo sapiens,0.0,2007/10/23,570,,Alzheimer's disease AND hippocampus AND GPL570
GSM238806,HIP_affected_8,Homo sapiens,0.0,2007/10/23,570,,Alzheimer's disease AND hippocampus AND GPL570
GSM238805,HIP_affected_7,Homo sapiens,0.0,2007/10/23,570,,Alzheimer's disease AND hippocampus AND GPL570
GSM238804,HIP_affected_6,Homo sapiens,0.0,2007/10/23,570,,Alzheimer's disease AND hippocampus AND GPL570
GSM238803,HIP_affected_5,Homo sapiens,0.0,2007/10/23,570,,Alzheimer's disease AND hippocampus AND GPL570
GSM238802,HIP_affected_4,Homo sapiens,0.0,2007/10/23,570,,Alzheimer's disease AND hippocampus AND GPL570
GSM238801,HIP_affected_3,Homo sapiens,0.0,2007/10/23,570,,Alzheimer's disease AND hippocampus AND GPL570
GSM238800,HIP_affected_2,Homo sapiens,0.0,2007/10/23,570,,Alzheimer's disease AND hippocampus AND GPL570
GSM238799,HIP_affected_1,Homo sapiens,0.0,2007/10/23,570,,Alzheimer's disease AND hippocampus AND GPL570
GSE318045,Whole transcriptome microarray gene expression profiling of cerebral cortex specimens from glioblastoma patients (Group1),Homo sapiens,10.0,2026/02/16,570,Expression profiling by array,Alzheimer's disease AND cortex AND GPL570
GSE66333,Neuronal DNA damage response-associated dysregulation of signalling pathways and cholesterol metabolism at th earliest stages of Alzheimer-type pathology,Homo sapiens,8.0,2015/06/02,570,Expression profiling by array,Alzheimer's disease AND cortex AND GPL570
GSE29652,Microarray analysis of the astrocyte transcriptome in the ageing brain: relationship to Alzheimer's pathology and ApoE genotype,Homo sapiens,18.0,2011/06/01,570,Expression profiling by array,Alzheimer's disease AND cortex AND GPL570
GDS4135,Postmortem temporal cortex from Medical Research Council Cognitive Function and Ageing Study (MRC-CFAS) cohort: astrocytes,Homo sapiens,18.0,2011/06/01,570,Expression profiling by array,Alzheimer's disease AND cortex AND GPL570
GSE21779,"Gene expression data from temporal cortex of young adult, old and AD-like Microcebus murinus",Microcebus murinus; Homo sapiens,18.0,2011/04/01,570,Expression profiling by array,Alzheimer's disease AND cortex AND GPL570
GDS4128,Model of cerebral aging and Alzheimer's disease: temporal cortex,Homo sapiens; Microcebus murinus,18.0,2011/04/01,570,Expression profiling by array,Alzheimer's disease AND cortex AND GPL570
GSE4757,Alzheimer’s disease: neurofibrillary tangles (Rogers-3U24NS043571-01S1),Homo sapiens,20.0,2006/05/02,570,Expression profiling by array,Alzheimer's disease AND cortex AND GPL570
GDS2795,Alzheimer's disease: neurofibrillary tangles,Homo sapiens,20.0,2006/05/02,570,Expression profiling by array,Alzheimer's disease AND cortex AND GPL570
GSM242089,non-demented individual with intermediate Alzheimer's pathologies - primary visual cortex 5,Homo sapiens,0.0,2007/12/05,570,,Alzheimer's disease AND cortex AND GPL570
GSM242088,non-demented individual with intermediate Alzheimer's pathologies - primary visual cortex 4,Homo sapiens,0.0,2007/12/05,570,,Alzheimer's disease AND cortex AND GPL570
GSM242087,non-demented individual with intermediate Alzheimer's pathologies - primary visual cortex 3,Homo sapiens,0.0,2007/12/05,570,,Alzheimer's disease AND cortex AND GPL570
GSM242086,non-demented individual with intermediate Alzheimer's pathologies - primary visual cortex 2,Homo sapiens,0.0,2007/12/05,570,,Alzheimer's disease AND cortex AND GPL570
GSM242085,non-demented individual with intermediate Alzheimer's pathologies - primary visual cortex 1,Homo sapiens,0.0,2007/12/05,570,,Alzheimer's disease AND cortex AND GPL570
GSM242065,non-demented individual with intermediate Alzheimer's pathologies - posterior cingulate cortex 5,Homo sapiens,0.0,2007/12/05,570,,Alzheimer's disease AND cortex AND GPL570
GSM242064,non-demented individual with intermediate Alzheimer's pathologies - posterior cingulate cortex 4,Homo sapiens,0.0,2007/12/05,570,,Alzheimer's disease AND cortex AND GPL570
GSM242063,non-demented individual with intermediate Alzheimer's pathologies - posterior cingulate cortex 3,Homo sapiens,0.0,2007/12/05,570,,Alzheimer's disease AND cortex AND GPL570
GSM242062,non-demented individual with intermediate Alzheimer's pathologies - posterior cingulate cortex 2,Homo sapiens,0.0,2007/12/05,570,,Alzheimer's disease AND cortex AND GPL570
GSM242061,non-demented individual with intermediate Alzheimer's pathologies - posterior cingulate cortex 1,Homo sapiens,0.0,2007/12/05,570,,Alzheimer's disease AND cortex AND GPL570
GSM242048,non-demented individual with intermediate Alzheimer's pathologies - entorhinal cortex 6,Homo sapiens,0.0,2007/12/05,570,,Alzheimer's disease AND cortex AND GPL570
GSM242047,non-demented individual with intermediate Alzheimer's pathologies - entorhinal cortex 5,Homo sapiens,0.0,2007/12/05,570,,Alzheimer's disease AND cortex AND GPL570
GSM242046,non-demented individual with intermediate Alzheimer's pathologies - entorhinal cortex 4,Homo sapiens,0.0,2007/12/05,570,,Alzheimer's disease AND cortex AND GPL570
GSM242045,non-demented individual with intermediate Alzheimer's pathologies - entorhinal cortex 3,Homo sapiens,0.0,2007/12/05,570,,Alzheimer's disease AND cortex AND GPL570
GSM242044,non-demented individual with intermediate Alzheimer's pathologies - entorhinal cortex 2,Homo sapiens,0.0,2007/12/05,570,,Alzheimer's disease AND cortex AND GPL570
GSM242043,non-demented individual with intermediate Alzheimer's pathologies - entorhinal cortex 1,Homo sapiens,0.0,2007/12/05,570,,Alzheimer's disease AND cortex AND GPL570
GSM238963,VCX_affected_19,Homo sapiens,0.0,2007/10/23,570,,Alzheimer's disease AND cortex AND GPL570
GSM238955,VCX_affected_18,Homo sapiens,0.0,2007/10/23,570,,Alzheimer's disease AND cortex AND GPL570
GSM238953,VCX_affected_17,Homo sapiens,0.0,2007/10/23,570,,Alzheimer's disease AND cortex AND GPL570
GSM238952,VCX_affected_16,Homo sapiens,0.0,2007/10/23,570,,Alzheimer's disease AND cortex AND GPL570
GSM238951,VCX_affected_15,Homo sapiens,0.0,2007/10/23,570,,Alzheimer's disease AND cortex AND GPL570
GSM238949,VCX_affected_14,Homo sapiens,0.0,2007/10/23,570,,Alzheimer's disease AND cortex AND GPL570
GSM238948,VCX_affected_13,Homo sapiens,0.0,2007/10/23,570,,Alzheimer's disease AND cortex AND GPL570
GSM238947,VCX_affected_12,Homo sapiens,0.0,2007/10/23,570,,Alzheimer's disease AND cortex AND GPL570
GSM238946,VCX_affected_11,Homo sapiens,0.0,2007/10/23,570,,Alzheimer's disease AND cortex AND GPL570
GSM238945,VCX_affected_10,Homo sapiens,0.0,2007/10/23,570,,Alzheimer's disease AND cortex AND GPL570
GSM238944,VCX_affected_9,Homo sapiens,0.0,2007/10/23,570,,Alzheimer's disease AND cortex AND GPL570
GSM238943,VCX_affected_8,Homo sapiens,0.0,2007/10/23,570,,Alzheimer's disease AND cortex AND GPL570
GSM238942,VCX_affected_7,Homo sapiens,0.0,2007/10/23,570,,Alzheimer's disease AND cortex AND GPL570
GSM238941,VCX_affected_6,Homo sapiens,0.0,2007/10/23,570,,Alzheimer's disease AND cortex AND GPL570
GSM238877,VCX_affected_5,Homo sapiens,0.0,2007/10/23,570,,Alzheimer's disease AND cortex AND GPL570
GSM238875,VCX_affected_4,Homo sapiens,0.0,2007/10/23,570,,Alzheimer's disease AND cortex AND GPL570
GSM238874,VCX_affected_3,Homo sapiens,0.0,2007/10/23,570,,Alzheimer's disease AND cortex AND GPL570
GSM238873,VCX_affected_2,Homo sapiens,0.0,2007/10/23,570,,Alzheimer's disease AND cortex AND GPL570
GSM238872,VCX_affected_1,Homo sapiens,0.0,2007/10/23,570,,Alzheimer's disease AND cortex AND GPL570
GSE97311,Induced Mesenchymal stromal cells derived from iPS cells from aged individuals acquire a rejuvenation signature and a MSC-specific secretome,Homo sapiens,18.0,2019/03/13,10558,Expression profiling by array,Alzheimer's disease AND blood AND GPL10558
GSM2561516,fetal MSC 2,Homo sapiens,0.0,2019/03/13,10558,,Alzheimer's disease AND blood AND GPL10558
GSM2561515,fetal MSC 1,Homo sapiens,0.0,2019/03/13,10558,,Alzheimer's disease AND blood AND GPL10558
GSM2561514,aged MSC (70y),Homo sapiens,0.0,2019/03/13,10558,,Alzheimer's disease AND blood AND GPL10558
GSM2561513,aged MSC (60y),Homo sapiens,0.0,2019/03/13,10558,,Alzheimer's disease AND blood AND GPL10558
GSM2561512,H9_a,Homo sapiens,0.0,2019/03/13,10558,,Alzheimer's disease AND blood AND GPL10558
GSM2561511,H1_b,Homo sapiens,0.0,2019/03/13,10558,,Alzheimer's disease AND blood AND GPL10558
GSM2561510,H1_a,Homo sapiens,0.0,2019/03/13,10558,,Alzheimer's disease AND blood AND GPL10558
GSM2561509,iMSC (hESC H1),Homo sapiens,0.0,2019/03/13,10558,,Alzheimer's disease AND blood AND GPL10558
GSM2561508,"iMSC (fetal, line 1, viral)",Homo sapiens,0.0,2019/03/13,10558,,Alzheimer's disease AND blood AND GPL10558
GSM2561507,"iPSC (MSC, fetal, line 1, episomal 2)",Homo sapiens,0.0,2019/03/13,10558,,Alzheimer's disease AND blood AND GPL10558
GSM2561506,"iPSC (MSC, fetal, line 1, episomal 1)",Homo sapiens,0.0,2019/03/13,10558,,Alzheimer's disease AND blood AND GPL10558
GSM2561505,"iPSC (MSC, fetal, line 1, viral)",Homo sapiens,0.0,2019/03/13,10558,,Alzheimer's disease AND blood AND GPL10558
GSM2561504,fetal MSC 3,Homo sapiens,0.0,2019/03/13,10558,,Alzheimer's disease AND blood AND GPL10558
GSM2561503,"iPSC (MSC, 62y, episomal)",Homo sapiens,0.0,2019/03/13,10558,,Alzheimer's disease AND blood AND GPL10558
GSM2561502,aged MSC (62y),Homo sapiens,0.0,2019/03/13,10558,,Alzheimer's disease AND blood AND GPL10558
GSM2561501,"iMSC (74y, viral)",Homo sapiens,0.0,2019/03/13,10558,,Alzheimer's disease AND blood AND GPL10558
GSM2561500,"iPSC (MSC, 74y, viral)",Homo sapiens,0.0,2019/03/13,10558,,Alzheimer's disease AND blood AND GPL10558
GSM2561499,aged MSC (74y),Homo sapiens,0.0,2019/03/13,10558,,Alzheimer's disease AND blood AND GPL10558
GSE68608,C9ORF72 GGGGCC expanded repeats produce splicing dysregulation which correlates with disease severity in amyotrophic lateral sclerosis,Homo sapiens,80.0,2015/05/08,20149;570,Expression profiling by array,amyotrophic lateral sclerosis AND control AND GPL570
GSE68605,C9ORF72 GGGGCC expanded repeats produce splicing dysregulation which correlates with disease severity in amyotrophic lateral sclerosis [HG-U133_Plus_2],Homo sapiens,11.0,2015/05/08,570,Expression profiling by array,amyotrophic lateral sclerosis AND control AND GPL570
GSE56808,"Gene expression signatures in motor neuron disease fibroblasts reveal dysregulation of metabolism, hypoxia-response and RNA processing functions",Homo sapiens,18.0,2014/04/16,570,Expression profiling by array,amyotrophic lateral sclerosis AND control AND GPL570
GSE40438,Gene expression profiling of resistant and vulnerable motor neuron subtypes in amyotrophic lateral sclerosis,Homo sapiens,8.0,2013/03/01,570,Expression profiling by array,amyotrophic lateral sclerosis AND control AND GPL570
GDS4130,Endoplasmic reticulum stress effect on lymphoblastoid cells of monozygotic twins,Homo sapiens,104.0,2010/03/30,570,Expression profiling by array,amyotrophic lateral sclerosis AND control AND GPL570
GDS4129,Endoplasmic reticulum stress effect on lymphoblastoid cells of unrelated individuals,Homo sapiens,120.0,2010/03/30,570,Expression profiling by array,amyotrophic lateral sclerosis AND control AND GPL570
GSE19332,Mutations in CHMP2B in lower motor neuron predominant amyotrophic lateral sclerosis (ALS),Homo sapiens,10.0,2010/03/01,570,Expression profiling by array,amyotrophic lateral sclerosis AND control AND GPL570
GDS3730,Transactive response DNA-binding protein (TDP-43) knockdown effect on embryonic kidney cells,Homo sapiens,8.0,2009/10/20,570,Expression profiling by array,amyotrophic lateral sclerosis AND control AND GPL570
GSE143680,Integrated Genome and Transcriptome Analyses Reveal the Mechanism of Genome Instability in Ataxia with Oculomotor Apraxia 2.,Homo sapiens,24.0,2021/04/29,6244,Expression profiling by array,amyotrophic lateral sclerosis AND control AND GPL6244
GSE26276,Evaluation of differential gene expression in patients with amyotrophic lateral sclerosis (ALS),Homo sapiens,9.0,2011/02/26,6244,Expression profiling by array,amyotrophic lateral sclerosis AND control AND GPL6244
GSE106382,"Expression data of iPSC-derived motor neurons from healthy donor, FALS, SALS, and drug-treated them",Homo sapiens,24.0,2018/06/30,570,Expression profiling by array,ALS AND motor neuron AND GPL570
GSE20589,Microarray analysis identifies the gene signature of surviving motor neurons in human SOD1-related motor neuron disease,Homo sapiens,10.0,2011/01/01,570,Expression profiling by array,ALS AND motor neuron AND GPL570
GSM2836957,SALS iPSC (SALS30)-derived MN with drug-treatment,Homo sapiens,0.0,2018/06/30,570,,ALS AND motor neuron AND GPL570
GSM2836956,SALS iPSC (SALS17)-derived MN with drug-treatment,Homo sapiens,0.0,2018/06/30,570,,ALS AND motor neuron AND GPL570
GSM2836955,SALS iPSC (SALS14)-derived MN with drug-treatment,Homo sapiens,0.0,2018/06/30,570,,ALS AND motor neuron AND GPL570
GSM2836954,SALS iPSC (SALS12)-derived MN with drug-treatment,Homo sapiens,0.0,2018/06/30,570,,ALS AND motor neuron AND GPL570
GSM2836953,SOD1-ALS iPSC (2SOD1-4)-derived MN with drug-treatment,Homo sapiens,0.0,2018/06/30,570,,ALS AND motor neuron AND GPL570
GSM2836952,SOD1-ALS iPSC (1SOD1-4)-derived MN with drug-treatment,Homo sapiens,0.0,2018/06/30,570,,ALS AND motor neuron AND GPL570
GSM2836951,TARDBP-ALS iPSC (A21428)-derived MN with drug-treatment,Homo sapiens,0.0,2018/06/30,570,,ALS AND motor neuron AND GPL570
GSM2836950,TARDBP-ALS iPSC (A21412)-derived MN with drug-treatment,Homo sapiens,0.0,2018/06/30,570,,ALS AND motor neuron AND GPL570
GSM2836949,FUS-ALS iPSC (FALS2e23)-derived MN with drug-treatment,Homo sapiens,0.0,2018/06/30,570,,ALS AND motor neuron AND GPL570
GSM2836948,FUS-ALS iPSC (FALS2e3)-derived MN with drug-treatment,Homo sapiens,0.0,2018/06/30,570,,ALS AND motor neuron AND GPL570
GSM2836947,SALS iPSC (SALS30)-derived MN,Homo sapiens,0.0,2018/06/30,570,,ALS AND motor neuron AND GPL570
GSM2836946,SALS iPSC (SALS17)-derived MN,Homo sapiens,0.0,2018/06/30,570,,ALS AND motor neuron AND GPL570
GSM2836945,SALS iPSC (SALS14)-derived MN,Homo sapiens,0.0,2018/06/30,570,,ALS AND motor neuron AND GPL570
GSM2836944,SALS iPSC (SALS12)-derived MN,Homo sapiens,0.0,2018/06/30,570,,ALS AND motor neuron AND GPL570
GSM2836943,SOD1-ALS iPSC (2SOD1-4)-derived MN,Homo sapiens,0.0,2018/06/30,570,,ALS AND motor neuron AND GPL570
GSM2836942,SOD1-ALS iPSC (1SOD1-4)-derived MN,Homo sapiens,0.0,2018/06/30,570,,ALS AND motor neuron AND GPL570
GSM2836941,TARDBP-ALS iPSC (A21428)-derived MN,Homo sapiens,0.0,2018/06/30,570,,ALS AND motor neuron AND GPL570
GSM2836940,TARDBP-ALS iPSC (A21412)-derived MN,Homo sapiens,0.0,2018/06/30,570,,ALS AND motor neuron AND GPL570
GSM2836939,FUS-ALS iPSC (FALS2e23)-derived MN,Homo sapiens,0.0,2018/06/30,570,,ALS AND motor neuron AND GPL570
GSM2836938,FUS-ALS iPSC (FALS2e3)-derived MN,Homo sapiens,0.0,2018/06/30,570,,ALS AND motor neuron AND GPL570
GSM1676860,ALS with C9ORF72 mutation 08,Homo sapiens,0.0,2015/05/08,570,,ALS AND motor neuron AND GPL570
GSM1676859,ALS with C9ORF72 mutation 07,Homo sapiens,0.0,2015/05/08,570,,ALS AND motor neuron AND GPL570
GSM1676858,ALS with C9ORF72 mutation 06,Homo sapiens,0.0,2015/05/08,570,,ALS AND motor neuron AND GPL570
GSM1676857,ALS with C9ORF72 mutation 05,Homo sapiens,0.0,2015/05/08,570,,ALS AND motor neuron AND GPL570
GSM1676856,ALS with C9ORF72 mutation 04,Homo sapiens,0.0,2015/05/08,570,,ALS AND motor neuron AND GPL570
GSM1676855,ALS with C9ORF72 mutation 03,Homo sapiens,0.0,2015/05/08,570,,ALS AND motor neuron AND GPL570
GSM1676854,ALS with C9ORF72 mutation 02,Homo sapiens,0.0,2015/05/08,570,,ALS AND motor neuron AND GPL570
GSM1676853,ALS with C9ORF72 mutation 01,Homo sapiens,0.0,2015/05/08,570,,ALS AND motor neuron AND GPL570
GSE135589,2-year Longitudinal Analyses of Peripheral Blood RNA in Huntington's Disease gene-positive and control subjects,Homo sapiens,178.0,2020/09/23,570,Expression profiling by array,Huntington's disease AND control AND GPL570
GSE59051,Expression data from of HD-iPSC and CON-iPSC neuron derivatives,Homo sapiens,5.0,2015/09/02,570,Expression profiling by array,Huntington's disease AND control AND GPL570
GSE34721,Continuous analysis captures cellular states that reflect dominant effects of the HTT CAG repeat in human lymphoblastoid cell lines.,Homo sapiens,227.0,2013/05/03,570,Expression profiling by array,Huntington's disease AND control AND GPL570
GSE8762,Lymphocyte gene expression data from moderate stage HD patients and controls,Homo sapiens,22.0,2007/08/15,570,Expression profiling by array,Huntington's disease AND control AND GPL570
GDS2887,Moderate stage Huntington's disease lymphocytes,Homo sapiens,22.0,2007/08/15,570,Expression profiling by array,Huntington's disease AND control AND GPL570
GSE83670,Gene expression profiling of the astrocyte transcriptome in multiple sclerosis normal appearing white matter reveals a neuroprotective role,Homo sapiens,7.0,2016/09/19,570,Expression profiling by array,multiple sclerosis AND control AND GPL570
GSE68527,Gene expression studies of a human monocyte cell line identify dissimilarities between Copaxone and Probioglat,Homo sapiens,178.0,2015/05/22,570,Expression profiling by array,multiple sclerosis AND control AND GPL570
GSE59085,The Role of Interleukin-11 in the Development of the Autoimmune Response in Multiple Sclerosis,Homo sapiens,22.0,2015/05/15,570,Expression profiling by array,multiple sclerosis AND control AND GPL570
GSE37750,Gene expression data: Plasmacytoid dendritic cells (pDCs) of healthy donors and MS patientes before and after IFN beta treatment,Homo sapiens,26.0,2015/05/02,570,Expression profiling by array,multiple sclerosis AND control AND GPL570
GSE53716,IFNb-1a in-vivo treatment induces the expression and signaling of IFNAR1 and inhibits Th17 responses in PBMCs derived from CIS patients,Homo sapiens,12.0,2014/05/15,570,Expression profiling by array,multiple sclerosis AND control AND GPL570
GDS4994,IFNβ-1a in vivo treatment effect on CIS multiple sclerosis patients: peripheral blood mononuclear cells,Homo sapiens,12.0,2014/05/15,570,Expression profiling by array,multiple sclerosis AND control AND GPL570
GSE43592,MicroRNA regulate immune pathways in T-cells in multiple sclerosis (MS),Homo sapiens; synthetic construct,40.0,2013/08/02,570;14613,Expression profiling by array; Non-coding RNA profiling by array,multiple sclerosis AND control AND GPL570
GSE43591,MicroRNA regulate immune pathways in T-cells in multiple sclerosis (MS) mRNA,Homo sapiens,20.0,2013/08/02,570,Expression profiling by array,multiple sclerosis AND control AND GPL570
GSE38010,Janus-Like Opposing Roles of CD47 in Autoimmune Brain Inflammation in Human and Mice,Homo sapiens,7.0,2012/06/24,570,Expression profiling by array,multiple sclerosis AND control AND GPL570
GDS4218,Multiple sclerosis: brain lesions,Homo sapiens,7.0,2012/06/24,570,Expression profiling by array,multiple sclerosis AND control AND GPL570
GSE21942,Expression data from peripheral blood mononuclear cells in multiple sclerosis patients and controls,Homo sapiens,29.0,2011/07/01,570,Expression profiling by array,multiple sclerosis AND control AND GPL570
GDS3920,Multiple sclerosis: peripheral blood mononuclear cells,Homo sapiens,29.0,2011/07/01,570,Expression profiling by array,multiple sclerosis AND control AND GPL570
GSE26484,"Sema4A, a novel serum marker of multiple sclerosis, implicates Th17 pathology and efficacy of interferon-β.",Homo sapiens,10.0,2011/06/01,570,Expression profiling by array,multiple sclerosis AND control AND GPL570
GDS4152,Multiple sclerosis patients with high serum semaphorin4A levels: peripheral blood cells,Homo sapiens,10.0,2011/06/01,570,Expression profiling by array,multiple sclerosis AND control AND GPL570
GSE13732,CIS (multiple sclerosis) (case-control) (time-series),Homo sapiens,113.0,2008/11/26,570,Expression profiling by array,multiple sclerosis AND control AND GPL570
GSM931818,Chronic plaque 2 (CP2),Homo sapiens,0.0,2012/06/24,570,,multiple sclerosis AND control AND GPL570
GSM931817,Chronic plaque 1 (CP1),Homo sapiens,0.0,2012/06/24,570,,multiple sclerosis AND control AND GPL570
GSM931816,Chronic active plaque 2 (CAP2),Homo sapiens,0.0,2012/06/24,570,,multiple sclerosis AND control AND GPL570
GSM931815,Chronic active plaque 1 (CAP1),Homo sapiens,0.0,2012/06/24,570,,multiple sclerosis AND control AND GPL570
GSM931814,Active plaque (AP),Homo sapiens,0.0,2012/06/24,570,,multiple sclerosis AND control AND GPL570
GSE136411,Design of an unbiased machine learning workflow to predict Multiple Sclerosis staging from blood transcriptome,Homo sapiens,336.0,2020/09/01,6104;10558,Expression profiling by array,multiple sclerosis AND control AND GPL10558
GSE131282,"Multiple sclerosis cortical normal-appearing grey matter, grey matter lesions, and control grey matter",Homo sapiens,184.0,2020/01/13,10558,Expression profiling by array,multiple sclerosis AND control AND GPL10558
GSE131281,Multiple sclerosis cortical normal-appearing grey matter and control grey matter,Homo sapiens,106.0,2020/01/13,10558,Expression profiling by array,multiple sclerosis AND control AND GPL10558
GSE131279,Multiple sclerosis cortical normal-appearing grey matter and grey matter lesions,Homo sapiens,78.0,2020/01/13,10558,Expression profiling by array,multiple sclerosis AND control AND GPL10558
GSE107145,Intrathecal delivery of human ESC-derived mesenchymal stem cell spheres promotes recovery of a primate EAE model,Homo sapiens,3.0,2018/08/30,10558,Expression profiling by array,multiple sclerosis AND control AND GPL10558
GSE81910,Remyelination is correlated with regulatory T cell induction following human EBNPC transplantation,Homo sapiens,17.0,2017/02/10,10558,Expression profiling by array,multiple sclerosis AND control AND GPL10558
GSE71634,Gene expression profiling of healthy controls upon Interferon-beta stimulation,Homo sapiens,40.0,2015/08/03,10558,Expression profiling by array,multiple sclerosis AND control AND GPL10558
GSE17048,Multiple Sclerosis Blood Cell mRNA Transcriptome,Homo sapiens,144.0,2010/04/02,6947,Expression profiling by array,multiple sclerosis AND blood AND GPL6947
GSE4773,Greene-5P01NS017771-220003,Homo sapiens,21.0,2006/06/06,570,Expression profiling by array,neurodegeneration AND patient AND control AND GPL570
