accession,title,organism,n_samples,date,has_pub,type,summary,query
GSE205752,Bulk RNA-seq analysis of gene expression changes at 8 hpf induced by miR-34a loss,Danio rerio,8,2022/06/14,False,Expression profiling by high throughput sequencing,"Li-Fraumeni syndrome (LFS) is a disorder due to inherited mutations in the TP53 gene resulting in an increased risk of developing several types of cancer. MicroRNA miR-34a has been implicated downstream of p53 on the basis of being a direct transcriptional target and, when over-expressed, having pro-apoptotic phenotypes in cell lines. Moreover, miR-34a has been shown to be a modifier gene in the context of LFS, since its epigenetic silencing increases the likelihood of tumour development in patients with mutant TP53. However, the in vivo consequences of miR-34 loss are still unclear. For example, mice lacking all three (a,b,c) miR-34 homologs show no detectable abnormalities in p53 responses. The relative expression of different miR-34 genes in zebrafish was studied using qRT-PCR with specific assays. The miR-34a, miR-34b and miR-34c display unique onset of developmental expression and expression levels, with miR-34a being the most abundant and constant in expression. All of the miR-34 genes also showed clear induction by p53 when DNA-damaging treatments are performed. Using CRISPR-Cas9 technology, we generated a zebrafish miR-34a deletion mutant to further investigate the roles of miR-34a on its own and its association with the p53 pathway. Predictably, a miR-34a deletion mutant demonstrated absence of miR-34a, though without miR-34b and miR-34c compensation beyond baseline expression levels. Mutants survive to adulthood, show no overt phenotypes and have normal apoptotic responses to DNA-damaging irradiation or camptothecin treatments. To further explore the effects of miR-34a, we performed gene expression profiling using RNA-seq of wild-type and miR-34a deletion mutant zebrafish embryos at 8 hpf. This experiment was motivated by a previous report knock-down of miR-34a in zebrafish leads to dramatic increases in expression of miR-34a target genes. We therefore expected that this experiment will help define the set of miR-34a target genes. The results of this RNA-seq experiment showed that the loss of miR-34a led to large transcriptomic effects at 8 hpf (1573 genes UP and 1679 genes DOWN at 1.5-fold change and FDR < 0.05). There was no significant enrichment of predicted miR-34a target genes among the differentially regulated genes but some interesting biological trends were found and will be described in the paper associated with this dataset.",Li-Fraumeni syndrome AND RNA-seq
GSE180338,Treatment of Novel Patient-Derived Xenograft and Cell Line Models with PI3K/AKT/mTOR Inhibitors Revealed Treatment Response Heterogeneity in NF2-Associated Schwannoma,Homo sapiens,9,2022/04/04,False,Expression profiling by high throughput sequencing,"Treatment of multiple intracranial schwannomas in patient with neurofibromatosis type 2 (NF2) is extremely unsatisfactory and innovative therapeutic approaches are urgently needed. The lack of clinically relevant NF2 models has severely hampered drug discovery in this rare disease. Here, we report for the first time the establishment and characterization of patient-derived xenograft (PDX) and cell line models of NF2-associated schwannoma, which retain the gene mutations and transcriptome profile, and recapitulate the morphological and histopathological features with the patient tumors, retain patient NF2 mutations, and maintain gene expression profiles resembling the patient tumor profiles with the preservation of multiple key signaling pathways commonly dysregulated in human schwannoma. Using expression profiling, we found that the PI3K/AKT/mTOR networks are elevated in NF2-associated vestibular schwannomas, as well as in PDX models.",neurofibromatosis AND transcriptome
GSE171474,Gene expression analysis of hiPSC-derived renal angiomyolipoma organoids,Homo sapiens,9,2021/09/10,False,Expression profiling by high throughput sequencing,"Angiomyolipomas (AMLs) are the most common renal manifestation in patients with Tuberous Sclerosis Complex. The recapitulation of AMLs experimentally has remained a challenge, precluding the study of tumor mechanisms. Here we used Next-Generation Sequencing to analyze the transcriptomes of renal organoids derived from TSC2-/-, TSC2+/- or TSC2+/+ human induced pluripotent stem cells (hiPSCs) derived from a patient diagnosed with Tuberous Sclerosis Complex. Organoids derived from TSC2-/- hiPSCs but not from isogenic TSC2+/- or TSC2+/+ hiPSCs shared a common transcriptional signature and a myomelanocytic cell phenotype with kidney AMLs.",tuberous sclerosis AND gene expression
GSE175733,Large-scale Chemical Screen Identifies a Geroprotective Role of Gallic Acid in Premature Aging [RNA-seq],Homo sapiens,12,2021/06/25,False,Expression profiling by high throughput sequencing,"Gallic acid (GA) is a natural phenolic compound with antioxidant, anti-inflammatory, and antineoplastic  properties. Previous studies also revealed that GA supplementation inhibit the decline of rat embryonic and rejuvenate the immune function in D-gal-induced aging accelerated mice. However, the role of GA in regulating senescence of human premature aging stem cells is unknown. We have demonstrated that GA showed beneficial effects in alleviating human mesenchyme stem cell(hMSC) senescence: (1) GA alleviated senescence by promoting stem cell self-renewal ability and down-regulating the expression of aging markers, including P16 and P21, in Werner syndrome(WS) hMSCs; (2) High levels of reactive oxygen species in total cell as well as mitochondria were both rescued by GA treatment; (3) GA also maintained epigenetic features, enhanced cell stemness, and improved mitochondrial homeostasis in WS hMSCs. Our data provide substantial evidence supporting that GA is a promising candidate agent to",Werner syndrome AND RNA-seq
GSE148249,Cdkn2a loss in a model of neurofibroma demonstrates stepwise tumor progression to atypical neurofibroma and MPNST,Mus musculus,20,2020/12/23,False,Expression profiling by high throughput sequencing,"Plexiform neurofibromas (PN) are benign nerve sheath Schwann cell tumors, common in patients with neurofibromatosis type 1 (NF1), that are characterized by biallelic mutations in the NF1 tumor suppressor gene. Atypical neurofibromas (ANF) show additional frequent loss of CDKN2A/Ink4a/Arf and may be precursor lesions of aggressive malignant peripheral nerve sheath tumors (MPNST). We combined loss of Nf1 in developing",neurofibromatosis AND transcriptome
GSE157987,Brain pathology and cerebellar Purkinje cell loss in a mouse model of chronic neuronopathic Gaucher disease [whole brain],Mus musculus,17,2020/11/08,False,Expression profiling by high throughput sequencing,"Gaucher disease (GD) is currently the focus of considerable attention due primarily to the association between the gene that causes GD (GBA) and Parkinson’s disease. Mouse models exist for the systemic (type 1) and for the acute neuronopathic forms (type 2) of GD. Here we report the generation of a mouse that phenotypically models chronic neuronopathic type 3 GD. Gba-/-;Gbatg mice, which contain a Gba transgene regulated by doxycycline, accumulate moderate levels of the offending substrate in GD, glucosylceramide, and live for up to 10 months, i.e. significantly longer than mice which model type 2 GD. Gba-/-;Gbatg mice display behavioral abnormalities at ~4 months, which deteriorate with age, along with significant neuropathology including loss of Purkinje neurons. Gene expression is altered in the brain and in isolated microglia, although the changes in gene expression are less extensive than in mice modeling type 2 disease. Finally, bone deformities are consistent with the Gba-/-;Gbatg mice being a genuine type 3 GD model. Together, the Gba-/-;Gbatg mice share pathological pathways with acute neuronopathic GD mice but also display differences that might help understand the distinct disease course and progression of type 2 and 3 patients.",Gaucher disease AND gene expression
GSE157991,Brain pathology and cerebellar Purkinje cell loss in a mouse model of chronic neuronopathic Gaucher disease [microglia],Mus musculus,18,2020/11/08,False,Expression profiling by high throughput sequencing,"Gaucher disease (GD) is currently the focus of considerable attention due primarily to the association between the gene that causes GD (GBA) and Parkinson’s disease. Mouse models exist for the systemic (type 1) and for the acute neuronopathic forms (type 2) of GD. Here we report the generation of a mouse that phenotypically models chronic neuronopathic type 3 GD. Gba-/-;Gbatg mice, which contain a Gba transgene regulated by doxycycline, accumulate moderate levels of the offending substrate in GD, glucosylceramide, and live for up to 10 months, i.e. significantly longer than mice which model type 2 GD. Gba-/-;Gbatg mice display behavioral abnormalities at ~4 months, which deteriorate with age, along with significant neuropathology including loss of Purkinje neurons. Gene expression is altered in the brain and in isolated microglia, although the changes in gene expression are less extensive than in mice modeling type 2 disease. Finally, bone deformities are consistent with the Gba-/-;Gbatg mice being a genuine type 3 GD model. Together, the Gba-/-;Gbatg mice share pathological pathways with acute neuronopathic GD mice but also display differences that might help understand the distinct disease course and progression of type 2 and 3 patients.",Gaucher disease AND gene expression
GSE142440,RNA-seq analysis of gene regulation by miR-34a and expression changes induced by DNA damage in zebrafish,Danio rerio,12,2019/12/21,False,Expression profiling by high throughput sequencing,"Li-Fraumeni syndrome (LFS) is a disorder due to inherited mutations in the TP53 gene resulting in an increased risk of developing several types of cancer. MicroRNA miR-34a has been implicated downstream of p53 on the basis of being a direct transcriptional target and, when over-expressed, having pro-apoptotic phenotypes in cell lines. Moreover, miR-34a has been shown to be a modifier gene in the context of LFS, since its epigenetic silencing increases the likelihood of tumour development in patients with mutant TP53. However, the in vivo consequences of miR-34 loss are still unclear. For example, mice lacking all three (a,b,c) miR-34 homologs show no detectable abnormalities in p53 responses. The relative expression of different miR-34 genes in zebrafish was studied using qRT-PCR with specific assays. The miR-34a, miR-34b and miR-34c display unique onset of developmental expression and expression levels, with miR-34a being the most abundant and constant in expression. All of the miR-34 genes also showed clear induction by p53 when DNA-damaging treatments are performed. Using CRISPR-Cas9 technology, we generated a zebrafish miR-34a deletion mutant to further investigate the roles of miR-34a on its own and its association with the p53 pathway. Predictably, a miR-34a deletion mutant demonstrated absence of miR-34a, though without miR-34b and miR-34c compensation beyond baseline expression levels. Mutants survive to adulthood, show no overt phenotypes and have normal apoptotic responses to DNA-damaging irradiation or camptothecin treatments. To further explore the effects of miR-34a, we performed gene expression profiling using RNA-seq of wild-type and miR-34a deletion mutant zebrafish embryos at 28 hpf with or without treatment with a DNA-damaging drug camptothecin. The results of this RNA-seq experiments showed that the loss of miR-34a does not strongly affect induction of genes by DNA-damage. However, the overall pattern of gene expression is significantly different as shown by Principal Component Analysis and there is a group of about 100 genes which are differentially expressed due to loss of miR-34a. The dataset we present in this submission was used to reach these conclusions.",Li-Fraumeni syndrome AND RNA-seq
GSE141361,Loss of TSC complex enhances gluconeogenesis via upregulation of Dlk1-Dio3 locus miRNAs,Mus musculus,10,2019/12/04,False,Non-coding RNA profiling by high throughput sequencing,"Loss of the tumor suppressor tuberous sclerosis complex 1 (Tsc1) in the liver promotes gluconeogenesis and glucose intolerance. We asked whether this could be attributed to aberrant expression of small RNAs. We preformed small-RNA sequencing on liver of Tsc1 knock-out mice, and found that miRNAs of the delta like homolog 1 (Dlk1) – deiodinase iodothyronine type III (Dio3) locus are upregulated in an mTORC1-dependent manner. Sustained mTORC1 signaling during development prevented CpG methylation and silencing of the Dlk1-Dio3 locus, thereby increasing miRNA transcription. Deletion of miRNAs encoded by the Dlk1-Dio3 locus reduced gluconeogenesis, glucose intolerance and fasting blood glucose levels. Thus, miRNAs contribute to the metabolic effects observed upon loss of TSC1 and hyperactivation of mTORC1 in the liver. Furthermore, we show that miRNA is a downstream effector of hyperactive mTORC1 signaling.",tuberous sclerosis AND gene expression
GSE137108,Chronic mucocutaneous candidiasis and connective tissue disorder in humans with impaired JNK1-dependent responses to IL-17A/F and TGF-β [RNA-Seq],Homo sapiens,48,2019/11/29,False,Expression profiling by high throughput sequencing,"Genetic etiologies of chronic mucocutaneous candidiasis (CMC) disrupt human IL-17A/F-dependent immunity at mucosal surfaces, whereas those of connective tissue disorders (CTD) often impair the TGF-β-dependent homeostasis of connective tissues. The signaling pathways involved are incompletely understood. We report a three-generation family with an autosomal dominant (AD) combination of CMC and a novel CTD that clinically overlaps with Ehlers-Danlos syndrome (EDS). The patients are heterozygous for a private splice-site variant of MAPK8, the gene encoding c-Jun N-terminal kinase 1 (JNK1), a component of the MAPK signaling pathway. This variant is loss-of-expression and loss-of-function in the patients’ fibroblasts, which display AD JNK1 deficiency by haploinsufficiency. These cells have impaired, but not abolished, responses to IL-17A and IL-17F. Moreover, the development of the patients’ TH17 cells was impaired ex vivo and in vitro, probably due to the involvement of JNK1 in the TGF-β-responsive pathway and further accounting for the patients’ CMC. Consistently, the patients’ fibroblasts displayed impaired JNK1- and c-Jun/ATF2-dependent induction of key extracellular matrix (ECM) components and regulators, but not of EDS-causing gene products, in response to TGF-β. Furthermore, they displayed a transcriptional pattern in response to TGF-β different from that of fibroblasts from patients with Loeys-Dietz syndrome and mutations of TGFBR2 or SMAD3, further accounting for the patients’ complex and unusual CTD phenotype. This experiment of Nature indicates that the integrity of the human JNK1-dependent MAPK signaling pathway is essential for IL-17A- and IL-17F-dependent mucocutaneous immunity to Candida, and for the TGF-β-dependent homeostasis of connective tissues.",Ehlers-Danlos syndrome AND gene expression
GSE137107,Human JNK1 haploinsufficiency: a novel genetic etiology of chronic mucocutaneous candidiasis and connective tissue disorder,Homo sapiens,16,2019/11/29,False,Expression profiling by array,"Genetic etiologies of chronic mucocutaneous candidiasis (CMC) disrupt human IL-17A/F-dependent immunity at mucosal surfaces, whereas those of connective tissue disorders (CTD) often impair the TGF-β-dependent homeostasis of connective tissues. The signaling pathways involved are incompletely understood. We report a three-generation family with an autosomal dominant (AD) combination of CMC and a novel CTD that clinically overlaps with Ehlers-Danlos syndrome (EDS). The patients are heterozygous for a private splice-site variant of MAPK8, the gene encoding c-Jun N-terminal kinase 1 (JNK1), a component of the MAPK signaling pathway. This variant is loss-of-expression and loss-of-function in the patients’ fibroblasts, which display AD JNK1 deficiency by haploinsufficiency. These cells have impaired, but not abolished, responses to IL-17A and IL-17F. Moreover, the development of the patients’ TH17 cells was impaired ex vivo and in vitro, probably due to the involvement of JNK1 in the TGF-β-responsive pathway and further accounting for the patients’ CMC. Consistently, the patients’ fibroblasts displayed impaired JNK1- and c-Jun/ATF2-dependent induction of key extracellular matrix (ECM) components and regulators, but not of EDS-causing gene products, in response to TGF-β. Furthermore, they displayed a transcriptional pattern in response to TGF-β different from that of fibroblasts from patients with Loeys-Dietz syndrome and mutations of TGFBR2 or SMAD3, further accounting for the patients’ complex and unusual CTD phenotype. This experiment of Nature indicates that the integrity of the human JNK1-dependent MAPK signaling pathway is essential for IL-17A- and IL-17F-dependent mucocutaneous immunity to Candida, and for the TGF-β-dependent homeostasis of connective tissues.",Ehlers-Danlos syndrome AND gene expression
GSE137856,Transcriptional Profiling of Werner Syndrome (WS) iPSC-derived MSC and the isogenic gene-edited controls,Homo sapiens,8,2019/09/24,False,Expression profiling by high throughput sequencing,"WS iPSC (iWS780) is a WRN-null iPSC line derived from AG00780 fibroblast. This iPSC line showed normal 46,XY karyotype. iWS780 was gene-edited by CRIPSR/Cas9 to correct the WRN point mutation. Two clones (C21 & C24) were characterized and showed expression of wild-type WRN protein after gene editing. The iPSC lines (isogenic) were subsequently differentiated into mesenchymal stem cells (MSC). RNA-seq was performed on these MSC.",Werner syndrome AND RNA-seq
GSE102844,Analysis of the Effect of Fibulin-1 on Fibroblast Growth Factor 8 Signaling,Mus musculus,10,2019/08/16,False,Expression profiling by array,"We have previously shown that human fibulin-1 (FBLN1) is a binding partner of fibroblast growth factor 8 (FGF8) and affects its expression and signaling. Herein, we investigate the mechanisms by which FBLN1 affects FGF8 signaling. Fibulin-1 (Fbln1) -deficiency in mouse embryo fibroblasts (MEF) caused downregulation of Fgf8 as well as fibroblast growth factor receptors (Fgfr) 1 and 3 and several downstream genes in the Fgf8 pathway, including Six1, Eya1 and Barx1. The Fgf8-regulated putative DiGeorge syndrome gene, Tbx1, was also significantly downregulated. Fbln1-deficiency in MEFs caused upregulation of Sonic hedgehog (Shh), an established upstream regulator of Fgf8. Surprisingly, this was accompanied by downregulation of several Shh signaling pathway targets, including patched1, smoothened, Gli1 and Gli3. Analysis of Fbln1-null embryonic hindbrain and arch regions showed that Shh was upregulated in the 2nd arch but downregulated in arches 1, 3 and 4. A broader transcriptomic analysis of mouse hindbrain and arches confirmed that Fbln1 deficiency caused changes in the mitogen activated protein kinase (Mapk) and Wnt signaling pathways. Biochemical tests showed that Fbln1 binds to Shh and that its absence blocks secretion of Shh by MEFs. Based on these results, Fbln1 affects Fgf8 signaling by influencing expression of Shh and its downstream targets, including Mapk and Wnt signaling pathways. This affect may involve direct interaction of Fbln1 with Shh in a manner facilitating the production of secreted Shh.",DiGeorge syndrome AND gene expression
GSE125685,RNA-seq analysis of FACS-sorted control and Tsc2 cKO nociceptors with and without sciatic nerve crush,Mus musculus,48,2019/01/26,False,Expression profiling by high throughput sequencing,"The goals of this study are to compare the transcriptomes of control heterozygous and Tuberous sclerosis 2 (Tsc2) homozygous nociceptors 3 days after sciatic nerve injury that have been enriched by fluorescence-associated cell sorting (FACS) with the aim of identifying differences in genes associated with axon regeneration. Nav1.8-Cre transgenic mice were used to delete Tsc2 as well as express Green fluorescent protein from the Rosa26 locus. Tsc2 deletion constitutively activates mTORC1 signaling cell autonomously. Dissociated dorsal root ganglia from adult mice were FACS-sorted for GFP and analyzed by RNA-seq. We find that the expression of a number of regeneration-associated transcription factors including cJun, Atf3, Sox11 and other are upregulated in Tsc2 mutant neurons in the absence of an injury. Additionally, the target genes of several other normally expressed regeneration-associated transcription factors are differentially expressed in Tsc2 mutant neurons, such as Creb1 and Klf’s. We conclude Tsc2 deletion and consequent mTORC1 activation establishes a pro-regenerative gene expression profile in nociceptors in the absence of an injury.",tuberous sclerosis AND gene expression
GSE62019,Gene expression analysis in human focal cortical dysplasia and tuberous sclerosis,Homo sapiens,11,2015/06/01,False,Expression profiling by array,"Focal cortical dysplasia (FCD), a focal brain malformation, is the most common cause of intractable epilepsy. One of the related disorders is tuberous sclerosis (TS). The dysplasia appears to result from a defect in cortical development, however, this disorder is heterogeneous, and FCD seizure therapy is non-specific and failure-prone. As a final recourse, patients may undergo multiple surgical resections to control seizures. Thus, there is a clinical need to characterize this disorder with respect to structural, molecular, and electrophysiological profiles, which will lead to development of animal models and pilot therapies that we will then apply to humans.",tuberous sclerosis AND gene expression
GSE47781,ENU mutagenesis derived Ednray129F-/- mice as a new model for human velocardiofacial syndrome/DiGeorg syndrome (VCFS/DGS),Mus musculus,24,2014/05/02,False,Expression profiling by array,"Human velocardiofacial syndrom/DiGeorg (VCFS/DGS) syndrom is a complex developmental disease with various expression of a large number of phenotypes. Craniofacial, cardiac, behavioural and endocrinological phenotypes are cardinal symptoms liked to the 22Q11.2 deletion occuring in 1/4.000 births. Several genes located within the 1.5 to 3 Mb deletion resemble a number of phenotypes demonstrated in mouse models for these genes including the endothelin receptor A (Ednra) gene. This is the first report on gene dosage effects observed in a dominant mouse model carrying an EdnraY129F point-mutation. EdnraY129F/+ mice are viable despite a strong cardiac phenotype alike to Fallot's tetralogy concomitant with cardiofacial, otolaryngeal phenotypes and deafness.",DiGeorge syndrome AND gene expression
GSE42139,Generation of organized anterior foregut epithelia from pluripotent stem cells using small molecules,Mus musculus,9,2013/04/15,False,Expression profiling by array,"Anterior foregut endoderm (AFE) gives rise to many tissue types of interest for therapeutic research including the esophagus, salivary glands, lung, thymus, parathyroid and thyroid. Despite its importance, only few reports describe the generation of AFE from pluripotent stem cells (PSCs) by directed differentiation. Here, we describe a novel protocol to derive a subdomain of AFE, identified by expression of Pax9, from PSCs using small molecules and chemically defined conditions. Generation of a reporter PSC line allows isolation and characterization of Pax9+ AFE cells. When transplanted in vivo, Pax9+ AFE can form several distinct types of complex anterior foregut epithelia including mucosal glands and stratified squamous epithelium. Finally, we show that the directed differentiation protocol can be used to generate AFE from DiGeorge Syndrome patient-specific human induced PSCs, thus creating a platform to produce anterior foregut derivatives for therapy and to enable the study of disorders of the AFE.",DiGeorge syndrome AND gene expression
GSE21899,Global Gene Expression Profiles in Cultured Skin Fibroblasts Derived from Patients with Gaucher Disease,Homo sapiens,14,2010/05/20,False,Expression profiling by array,"This work presents the discovery of genes that are dysregulated in patients with Type I and Type III Gaucher Disease. It provides insight into the unique pathogenesis of these phenotypes, improved diagnostic accuracy and potential novel therapies for these patients.",Gaucher disease AND gene expression
GPL6246,[MoGene-1_0-st] Affymetrix Mouse Gene 1.0 ST Array [transcript (gene) version],Mus musculus,30634,2007/12/05,False,,"Affymetrix submissions are typically submitted to GEO using the GEOarchive method described at http://www.ncbi.nlm.nih.gov/projects/geo/info/geo_affy.html June 03, 2009: annotation table updated with netaffx build 28 June 07, 2012: annotation table updated with netaffx build 32 July 01, 2016: annotation table updated with netaffx build 35 Protocol: See manufacturer's web site",Gaucher disease AND gene expression
GPL570,[HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array,Homo sapiens,176371,2003/11/07,False,,"Affymetrix submissions are typically submitted to GEO using the GEOarchive method described at http://www.ncbi.nlm.nih.gov/projects/geo/info/geo_affy.html June 03, 2009: annotation table updated with netaffx build 28 June 06, 2012: annotation table updated with netaffx build 32 June 23, 2016: annotation table updated with netaffx build 35 Protocol: see manufacturer's web site Complete coverage of the Human Genome U133 Set plus 6,500 additional genes for analysis of over 47,000 transcripts All probe sets represented on the GeneChip Human Genome U133 Set are identically replicated on the GeneChip Human Genome U133 Plus 2.0 Array. The sequences from which these probe sets were derived were selected from GenBank®, dbEST, and RefSeq. The sequence clusters were created from the UniGene database (Build 133, April 20, 2001) and then refined by analysis and comparison with a number of other publicly available databases, including the Washington University EST trace repository and the University of California, Santa Cruz Golden-Path human genome database (April 2001 release). In addition, there are 9,921 new probe sets representing approximately 6,500 new genes. These gene sequences were selected from GenBank, dbEST, and RefSeq. Sequence clusters were created from the UniGene database (Build 159, January 25, 2003) and refined by analysis and comparison with a number of other publicly available databases, including the Washington University EST trace repository and the NCBI human genome assembly (Build 31).",progeria AND transcriptome
GPL96,[HG-U133A] Affymetrix Human Genome U133A Array,Homo sapiens,42505,2002/03/11,False,,"Affymetrix submissions are typically submitted to GEO using the GEOarchive method described at http://www.ncbi.nlm.nih.gov/projects/geo/info/geo_affy.html June 03, 2009: annotation table updated with netaffx build 28 June 08, 2012: annotation table updated with netaffx build 32 June 24, 2016: annotation table updated with netaffx build 35 Protocol: see manufacturer's web site The U133 set includes 2 arrays with a total of 44928 entries and was indexed 29-Jan-2002. The set includes over 1,000,000 unique oligonucleotide features covering more than 39,000 transcript variants, which in turn represent greater than 33,000 of the best characterized human genes. Sequences were selected from GenBank, dbEST, and RefSeq. Sequence clusters were created from Build 133 of UniGene (April 20, 2001) and refined by analysis and comparison with a number of other publicly available databases including the Washington University EST trace repository and the University of California, Santa Cruz golden-path human genome database (April 2001 release). In addition, ESTs were analyzed for untrimmed low-quality sequence information, correct orientation, false priming, false clustering, alternative splicing and alternative polyadenylation.",progeria AND transcriptome
GPL81,[MG_U74Av2] Affymetrix Murine Genome U74A Version 2 Array,Mus musculus,6909,2002/03/11,False,,"Affymetrix submissions are typically submitted to GEO using the GEOarchive method described at http://www.ncbi.nlm.nih.gov/projects/geo/info/geo_affy.html June 03, 2009: annotation table updated with netaffx build 28 June 07, 2012: annotation table updated with netaffx build 32 June 24, 2016: annotation table updated with netaffx build 35 Protocol: see manufacturer's web site The MG-U74 set includes 3 arrays with a total of 36899 entries and was indexed 29-Jan-2002. The set represents ~36,000 full length genes and EST clusters derived from sequence clusters in Build 74 of the Mouse Unigene Database. MG-U74A represents all sequences (~6,000) in the Mouse UniGene database (Build 74) that have been functionally characterized, as well as ~6,000 EST clusters.",Marfan syndrome AND transcriptome
