1Run,2BioSample,3Bases,4batch,5Bytes,6cell_line,7cell_type,8Experiment,9genotype,10Library Name,11create_date,12Sample Name,13source_name,14tissue
SRR36692421,SAMN54465238,8.31 G,3,1.82 Gb,H4997 WTRev,astrocytes,SRX31700300,GBA1 +/+,GSM9436087,2026-01-0612:30:00Z,GSM9436087,iPSC-astrocytes,iPSC-astrocytes
SRR36692422,SAMN54465239,9.24 G,2,2.06 Gb,H4997 WTRev,astrocytes,SRX31700299,GBA1 +/+,GSM9436086,2026-01-0612:30:00Z,GSM9436086,iPSC-astrocytes,iPSC-astrocytes
SRR36692423,SAMN54465240,10.90 G,1,2.39 Gb,H4997 WTRev,astrocytes,SRX31700298,GBA1 +/+,GSM9436085,2026-01-0612:30:00Z,GSM9436085,iPSC-astrocytes,iPSC-astrocytes
SRR36692424,SAMN54465241,9.19 G,3,2.70 Gb,H1112 clone 2,midbrain dopaminergic neurons,SRX31700297,GBA1 +/+,GSM9436084,2026-01-0612:29:00Z,GSM9436084,iPSC-neurons,iPSC-neurons
SRR36692425,SAMN54465242,7.90 G,2,2.32 Gb,H1112 clone 2,midbrain dopaminergic neurons,SRX31700296,GBA1 +/+,GSM9436083,2026-01-0612:31:00Z,GSM9436083,iPSC-neurons,iPSC-neurons
SRR36692426,SAMN54465243,7.84 G,1,2.32 Gb,H1112 clone 2,midbrain dopaminergic neurons,SRX31700295,GBA1 +/+,GSM9436082,2026-01-0612:29:00Z,GSM9436082,iPSC-neurons,iPSC-neurons
SRR36692427,SAMN54465244,8.94 G,3,1.98 Gb,H4997 B3,midbrain dopaminergic neurons,SRX31700294,GBA1 IVS/IVS,GSM9436081,2026-01-0612:29:00Z,GSM9436081,iPSC-neurons,iPSC-neurons
SRR36692428,SAMN54465245,9.75 G,2,2.13 Gb,H4997 B3,midbrain dopaminergic neurons,SRX31700293,GBA1 IVS/IVS,GSM9436080,2026-01-0612:29:00Z,GSM9436080,iPSC-neurons,iPSC-neurons
SRR36692429,SAMN54465246,7.11 G,1,1.56 Gb,H4997 B3,midbrain dopaminergic neurons,SRX31700292,GBA1 IVS/IVS,GSM9436079,2026-01-0612:30:00Z,GSM9436079,iPSC-neurons,iPSC-neurons
SRR36692430,SAMN54465247,10.32 G,3,2.32 Gb,H4997 B3,astrocytes,SRX31700291,GBA1 IVS/IVS,GSM9436078,2026-01-0612:30:00Z,GSM9436078,iPSC-astrocytes,iPSC-astrocytes
SRR36692431,SAMN54465248,6.83 G,2,1.50 Gb,H4997 B3,astrocytes,SRX31700290,GBA1 IVS/IVS,GSM9436077,2026-01-0612:28:00Z,GSM9436077,iPSC-astrocytes,iPSC-astrocytes
SRR36692432,SAMN54465249,9.04 G,1,2.01 Gb,H4997 B3,astrocytes,SRX31700289,GBA1 IVS/IVS,GSM9436076,2026-01-0612:29:00Z,GSM9436076,iPSC-astrocytes,iPSC-astrocytes
SRR36692433,SAMN54465250,9.47 G,3,2.11 Gb,H4997 A4,midbrain dopaminergic neurons,SRX31700288,GBA1 IVS/+,GSM9436075,2026-01-0612:30:00Z,GSM9436075,iPSC-neurons,iPSC-neurons
SRR36692434,SAMN54465251,9.96 G,2,2.21 Gb,H4997 A4,midbrain dopaminergic neurons,SRX31700287,GBA1 IVS/+,GSM9436074,2026-01-0612:30:00Z,GSM9436074,iPSC-neurons,iPSC-neurons
SRR36692435,SAMN54465252,10.10 G,1,2.22 Gb,H4997 A4,midbrain dopaminergic neurons,SRX31700286,GBA1 IVS/+,GSM9436073,2026-01-0612:30:00Z,GSM9436073,iPSC-neurons,iPSC-neurons
SRR36692436,SAMN54465253,10.64 G,3,2.36 Gb,H4997 A4,astrocytes,SRX31700285,GBA1 IVS/+,GSM9436072,2026-01-0612:30:00Z,GSM9436072,iPSC-astrocytes,iPSC-astrocytes
SRR36692437,SAMN54465254,7.48 G,2,1.67 Gb,H4997 A4,astrocytes,SRX31700284,GBA1 IVS/+,GSM9436071,2026-01-0612:29:00Z,GSM9436071,iPSC-astrocytes,iPSC-astrocytes
SRR36692438,SAMN54465255,10.91 G,1,2.35 Gb,H4997 A4,astrocytes,SRX31700283,GBA1 IVS/+,GSM9436070,2026-01-0612:30:00Z,GSM9436070,iPSC-astrocytes,iPSC-astrocytes
SRR36692439,SAMN54465256,8.16 G,3,1.80 Gb,H4997 clone 6,midbrain dopaminergic neurons,SRX31700282,GBA1 IVS/+,GSM9436069,2026-01-0612:29:00Z,GSM9436069,iPSC-neurons,iPSC-neurons
SRR36692440,SAMN54465257,7.09 G,2,1.59 Gb,H4997 clone 6,midbrain dopaminergic neurons,SRX31700281,GBA1 IVS/+,GSM9436068,2026-01-0612:29:00Z,GSM9436068,iPSC-neurons,iPSC-neurons
SRR36692441,SAMN54465258,9.64 G,1,2.10 Gb,H4997 clone 6,midbrain dopaminergic neurons,SRX31700280,GBA1 IVS/+,GSM9436067,2026-01-0612:31:00Z,GSM9436067,iPSC-neurons,iPSC-neurons
SRR36692442,SAMN54465259,11.38 G,3,2.47 Gb,H4997 clone 6,astrocytes,SRX31700279,GBA1 IVS/+,GSM9436066,2026-01-0612:30:00Z,GSM9436066,iPSC-astrocytes,iPSC-astrocytes
SRR36692443,SAMN54465260,7.79 G,2,1.73 Gb,H4997 clone 6,astrocytes,SRX31700278,GBA1 IVS/+,GSM9436065,2026-01-0612:30:00Z,GSM9436065,iPSC-astrocytes,iPSC-astrocytes
SRR36692444,SAMN54465261,7.80 G,1,1.70 Gb,H4997 clone 6,astrocytes,SRX31700277,GBA1 IVS/+,GSM9436064,2026-01-0612:29:00Z,GSM9436064,iPSC-astrocytes,iPSC-astrocytes
SRR36692445,SAMN54465235,10.23 G,3,2.29 Gb,H4997 WTRev,midbrain dopaminergic neurons,SRX31700276,GBA1 +/+,GSM9436090,2026-01-0612:30:00Z,GSM9436090,iPSC-neurons,iPSC-neurons
SRR36692446,SAMN54465236,8.87 G,2,1.90 Gb,H4997 WTRev,midbrain dopaminergic neurons,SRX31700275,GBA1 +/+,GSM9436089,2026-01-0612:29:00Z,GSM9436089,iPSC-neurons,iPSC-neurons
SRR36692447,SAMN54465237,10.26 G,1,2.26 Gb,H4997 WTRev,midbrain dopaminergic neurons,SRX31700274,GBA1 +/+,GSM9436088,2026-01-0612:31:00Z,GSM9436088,iPSC-neurons,iPSC-neurons
SRR36692448,SAMN54465262,10.00 G,3,2.22 Gb,H4997 clone 2,midbrain dopaminergic neurons,SRX31700273,GBA1 IVS/+,GSM9436063,2026-01-0612:30:00Z,GSM9436063,iPSC-neurons,iPSC-neurons
SRR36692449,SAMN54465263,10.56 G,2,2.31 Gb,H4997 clone 2,midbrain dopaminergic neurons,SRX31700272,GBA1 IVS/+,GSM9436062,2026-01-0612:34:00Z,GSM9436062,iPSC-neurons,iPSC-neurons
SRR36692450,SAMN54465264,10.47 G,1,2.30 Gb,H4997 clone 2,midbrain dopaminergic neurons,SRX31700271,GBA1 IVS/+,GSM9436061,2026-01-0612:30:00Z,GSM9436061,iPSC-neurons,iPSC-neurons
SRR36692451,SAMN54465265,9.23 G,3,1.99 Gb,H4997 clone 2,astrocytes,SRX31700270,GBA1 IVS/+,GSM9436060,2026-01-0612:29:00Z,GSM9436060,iPSC-astrocytes,iPSC-astrocytes
SRR36692452,SAMN54465266,9.30 G,2,2.04 Gb,H4997 clone 2,astrocytes,SRX31700269,GBA1 IVS/+,GSM9436059,2026-01-0612:29:00Z,GSM9436059,iPSC-astrocytes,iPSC-astrocytes
SRR36692453,SAMN54465267,8.00 G,1,1.74 Gb,H4997 clone 2,astrocytes,SRX31700268,GBA1 IVS/+,GSM9436058,2026-01-0612:29:00Z,GSM9436058,iPSC-astrocytes,iPSC-astrocytes
SRR36692454,SAMN54465268,10.37 G,3,2.26 Gb,H4997 clone 1,midbrain dopaminergic neurons,SRX31700267,GBA1 IVS/+,GSM9436057,2026-01-0612:29:00Z,GSM9436057,iPSC-neurons,iPSC-neurons
SRR36692455,SAMN54465269,7.32 G,2,1.60 Gb,H4997 clone 1,midbrain dopaminergic neurons,SRX31700266,GBA1 IVS/+,GSM9436056,2026-01-0612:29:00Z,GSM9436056,iPSC-neurons,iPSC-neurons
SRR36692456,SAMN54465270,8.34 G,1,1.80 Gb,H4997 clone 1,midbrain dopaminergic neurons,SRX31700265,GBA1 IVS/+,GSM9436055,2026-01-0612:29:00Z,GSM9436055,iPSC-neurons,iPSC-neurons
SRR36692457,SAMN54465271,7.48 G,3,1.63 Gb,H4997 clone 1,astrocytes,SRX31700264,GBA1 IVS/+,GSM9436054,2026-01-0612:29:00Z,GSM9436054,iPSC-astrocytes,iPSC-astrocytes
SRR36692458,SAMN54465272,8.90 G,2,1.94 Gb,H4997 clone 1,astrocytes,SRX31700263,GBA1 IVS/+,GSM9436053,2026-01-0612:32:00Z,GSM9436053,iPSC-astrocytes,iPSC-astrocytes
SRR36692459,SAMN54465273,8.52 G,1,1.84 Gb,H4997 clone 1,astrocytes,SRX31700262,GBA1 IVS/+,GSM9436052,2026-01-0612:29:00Z,GSM9436052,iPSC-astrocytes,iPSC-astrocytes
SRR36692460,SAMN54465274,9.52 G,3,2.09 Gb,H1112 clone 3,midbrain dopaminergic neurons,SRX31700261,GBA1 +/+,GSM9436051,2026-01-0612:33:00Z,GSM9436051,iPSC-neurons,iPSC-neurons
SRR36692461,SAMN54465275,8.79 G,2,1.95 Gb,H1112 clone 3,midbrain dopaminergic neurons,SRX31700260,GBA1 +/+,GSM9436050,2026-01-0612:29:00Z,GSM9436050,iPSC-neurons,iPSC-neurons
SRR36692462,SAMN54465276,10.45 G,1,2.31 Gb,H1112 clone 3,midbrain dopaminergic neurons,SRX31700259,GBA1 +/+,GSM9436049,2026-01-0612:30:00Z,GSM9436049,iPSC-neurons,iPSC-neurons
SRR36692463,SAMN54465277,7.98 G,3,1.76 Gb,H1112 clone 3,astrocytes,SRX31700258,GBA1 +/+,GSM9436048,2026-01-0612:29:00Z,GSM9436048,iPSC-astrocytes,iPSC-astrocytes
SRR36692464,SAMN54465278,8.46 G,2,1.84 Gb,H1112 clone 3,astrocytes,SRX31700257,GBA1 +/+,GSM9436047,2026-01-0612:29:00Z,GSM9436047,iPSC-astrocytes,iPSC-astrocytes
SRR36692465,SAMN54465279,8.13 G,1,1.78 Gb,H1112 clone 3,astrocytes,SRX31700256,GBA1 +/+,GSM9436046,2026-01-0612:29:00Z,GSM9436046,iPSC-astrocytes,iPSC-astrocytes
SRR36692466,SAMN54465280,10.15 G,3,2.23 Gb,H1112 clone 2,astrocytes,SRX31700255,GBA1 +/+,GSM9436045,2026-01-0612:31:00Z,GSM9436045,iPSC-astrocytes,iPSC-astrocytes
SRR36692467,SAMN54465281,10.55 G,2,2.32 Gb,H1112 clone 2,astrocytes,SRX31700254,GBA1 +/+,GSM9436044,2026-01-0612:30:00Z,GSM9436044,iPSC-astrocytes,iPSC-astrocytes
SRR36692468,SAMN54465282,7.83 G,1,1.73 Gb,H1112 clone 2,astrocytes,SRX31700253,GBA1 +/+,GSM9436043,2026-01-0612:29:00Z,GSM9436043,iPSC-astrocytes,iPSC-astrocytes
SRR36692469,SAMN54465283,8.67 G,3,1.92 Gb,H1112 clone 1,midbrain dopaminergic neurons,SRX31700252,GBA1 +/+,GSM9436042,2026-01-0612:29:00Z,GSM9436042,iPSC-neurons,iPSC-neurons
SRR36692470,SAMN54465284,9.63 G,2,2.17 Gb,H1112 clone 1,midbrain dopaminergic neurons,SRX31700251,GBA1 +/+,GSM9436041,2026-01-0612:33:00Z,GSM9436041,iPSC-neurons,iPSC-neurons
SRR36692471,SAMN54465285,6.80 G,1,1.51 Gb,H1112 clone 1,midbrain dopaminergic neurons,SRX31700250,GBA1 +/+,GSM9436040,2026-01-06 12:28:00Z,GSM9436040,iPSC-neurons,iPSC-neurons
SRR36692472,SAMN54465286,9.29 G,3,2.01 Gb,H1112 clone 1,astrocytes,SRX31700249,GBA1 +/+,GSM9436039,2026-01-06 12:29:00Z,GSM9436039,iPSC-astrocytes,iPSC-astrocytes
SRR36692473,SAMN54465287,9.23 G,2,2.05 Gb,H1112 clone 1,astrocytes,SRX31700248,GBA1 +/+,GSM9436038,2026-01-06 12:30:00Z,GSM9436038,iPSC-astrocytes,iPSC-astrocytes
SRR36692474,SAMN54465288,8.41 G,1,1.79 Gb,H1112 clone 1,astrocytes,SRX31700247,GBA1 +/+,GSM9436037,2026-01-06 12:29:00Z,GSM9436037,iPSC-astrocytes,iPSC-astrocytes
